site_code,site_name,trap_type,collection_date,species,females - mixed
504042,778 HARRISON AVE,GRVD,2018-02-27,Culex quinquefasciatus,11.0
504046,987 ROBERT E LEE BLVD,GRVD,2018-02-27,Culex quinquefasciatus,7.0
504025,401 CITY PARK AVE,GRVD,2018-02-27,Culex quinquefasciatus,3.0
504045,964 N CARROLLTON AVE,GRVD,2018-02-27,Culex quinquefasciatus,16.0
504002,1001 HARRISON AVE,GRVD,2018-02-27,Culex quinquefasciatus,12.0
504003,1100 FLORIDA AVE,GRVD,2018-02-27,Culex quinquefasciatus,18.0
504026,4115 WOODLAND DR,GRVD,2018-02-27,Culex quinquefasciatus,29.0
504001,1 CLUBHOUSE DR,GRVD,2018-02-27,Culex quinquefasciatus,24.0
504015,2500 GENERAL DE GAULLE DR,GRVD,2018-02-27,Culex quinquefasciatus,46.0
504021,3340 GENERAL MEYER AVE,GRVD,2018-02-27,Culex quinquefasciatus,110.0
504041,725 PELICAN AVE,GRVD,2018-02-27,Culex quinquefasciatus,144.0
504006,14001 RIVER RD,GRVD,2018-02-27,Culex quinquefasciatus,3.0
504017,3014 HOLIDAY DR,GRVD,2018-02-27,Culex quinquefasciatus,15.0
504024,4001 LENNOX BLVD,GRVD,2018-02-27,Culex quinquefasciatus,63.0
504039,6500 MAGAZINE ST,GRVD,2018-02-27,Culex quinquefasciatus,38.0
504016,2920 MAGAZINE ST,GRVD,2018-02-27,Culex quinquefasciatus,37.0
504028,4300 S BROAD ST,GRVD,2018-02-27,Culex quinquefasciatus,9.0
504033,5120 ST CHARLES AVE,GRVD,2018-02-27,Culex quinquefasciatus,79.0
504043,8641 FORSHEY ST,GRVD,2018-02-27,Culex quinquefasciatus,46.0
504007,1401 S CARROLLTON AVE,GRVD,2018-02-27,Culex quinquefasciatus,14.0
504034,5136 KIM DR,GRVD,2018-02-27,Culex quinquefasciatus,53.0
504036,5403 READ BLVD,GRVD,2018-02-27,Culex quinquefasciatus,5.0
504040,6900 DOWNMAN RD,GRVD,2018-02-27,Culex quinquefasciatus,2.0
504030,4790 GAWAIN DR,GRVD,2018-02-27,Culex quinquefasciatus,9.0
504005,13200 OLD GENTILLY RD,GRVD,2018-02-27,Culex quinquefasciatus,1.0
504027,4300 ALBA RD,GRVD,2018-02-27,Culex quinquefasciatus,15.0
504020,337 RIDGEWAY (Hwy. 11),GRVD,2018-02-27,Culex quinquefasciatus,1.0
504038,5600 N CLAIBORNE AVE,GRVD,2018-02-27,Culex quinquefasciatus,12.0
504003,1100 FLORIDA AVE,GRVD,2018-02-27,Culex quinquefasciatus,18.0
504011,2118 ELYSIAN FIELDS AVE,GRVD,2018-02-27,Culex quinquefasciatus,67.0
504009,1441 ST PETER ST,GRVD,2018-02-27,Culex quinquefasciatus,14.0
504023,400 ESPLANADE AVE,GRVD,2018-02-27,Culex quinquefasciatus,5.0
504044,913 ALVAR ST,GRVD,2018-02-27,Culex quinquefasciatus,34.0
504010,1728 DESLONDE ST,GRVD,2018-02-27,Culex quinquefasciatus,19.0
504012,219 LOYOLA AVE,GRVD,2018-02-27,Culex quinquefasciatus,34.0
504019,334 ROYAL ST,GRVD,2018-02-27,Culex quinquefasciatus,2.0
504014,2244 JAY ST,GRVD,2018-02-27,Culex quinquefasciatus,15.0
504022,3940 PARIS AVE,GRVD,2018-02-27,Culex quinquefasciatus,53.0
504029,4550 OLD GENTILLY RD,GRVD,2018-02-27,Culex quinquefasciatus,4.0
504037,5600 FRANKLIN AVE,GRVD,2018-02-27,Culex quinquefasciatus,20.0
504035,5302 WILDAIR DR,GRVD,2018-02-27,Culex quinquefasciatus,27.0
504031,5019 PRESS DR,GRVD,2018-02-27,Culex quinquefasciatus,33.0
504013,2222 N BROAD ST,GRVD,2018-02-27,Culex quinquefasciatus,26.0
504042,778 HARRISON AVE,GRVD,2018-03-06,Culex quinquefasciatus,46.0
504046,987 ROBERT E LEE BLVD,GRVD,2018-03-06,Culex quinquefasciatus,35.0
504025,401 CITY PARK AVE,GRVD,2018-03-06,Culex quinquefasciatus,51.0
504045,964 N CARROLLTON AVE,GRVD,2018-03-06,Culex quinquefasciatus,43.0
504002,1001 HARRISON AVE,GRVD,2018-03-06,Culex quinquefasciatus,36.0
504032,506 N BROAD ST,GRVD,2018-03-06,Culex quinquefasciatus,51.0
504026,4115 WOODLAND DR,GRVD,2018-03-06,Culex quinquefasciatus,39.0
504001,1 CLUBHOUSE DR,GRVD,2018-03-06,Culex quinquefasciatus,63.0
504015,2500 GENERAL DE GAULLE DR,GRVD,2018-03-06,Culex quinquefasciatus,53.0
