week_monday,total_females,number_of_traps,females - mixed
2013-01-07,426.0,16,26.625
2013-01-14,11.0,8,1.375
2013-01-21,72.0,10,7.2
2013-01-28,398.0,11,36.18181818181818
2013-02-04,236.0,12,19.666666666666668
2013-02-18,74.0,9,8.222222222222221
2013-02-25,112.0,9,12.444444444444445
2013-03-04,224.0,11,20.363636363636363
2013-03-11,6.0,4,1.5
2013-03-18,307.0,14,21.928571428571427
2013-03-25,36.0,11,3.272727272727273
2013-04-01,367.0,21,17.476190476190474
2013-04-08,395.0,26,15.192307692307692
2013-04-15,1455.0,30,48.5
2013-04-22,717.0,24,29.875
2013-04-29,4407.0,29,151.9655172413793
2013-05-06,5656.0,33,171.3939393939394
2013-05-13,3705.0,32,115.78125
2013-05-20,4903.0,33,148.57575757575756
2013-05-27,4758.0,31,153.48387096774192
2013-06-03,6786.0,32,212.0625
2013-06-10,13238.0,31,427.03225806451616
2013-06-17,3123.0,30,104.1
2013-06-24,3585.0,33,108.63636363636364
2013-07-01,2900.0,28,103.57142857142857
2013-07-08,2442.0,30,81.4
2013-07-15,2815.0,28,100.53571428571429
2013-07-22,5374.0,32,167.9375
2013-07-29,1573.0,28,56.17857142857143
2013-08-05,1862.0,25,74.48
2013-08-12,2437.0,28,87.03571428571429
2013-08-19,1819.0,30,60.63333333333333
2013-08-26,7235.0,30,241.16666666666666
2013-09-02,2942.0,30,98.06666666666666
2013-09-09,2257.0,30,75.23333333333333
2013-09-16,4157.0,31,134.09677419354838
2013-09-23,3743.0,32,116.96875
2013-09-30,3736.0,32,116.75
2013-10-07,2638.0,32,82.4375
2013-10-14,3788.0,31,122.19354838709677
2013-10-21,4133.0,30,137.76666666666668
2013-10-28,4583.0,31,147.83870967741936
2013-11-04,867.0,28,30.964285714285715
2013-11-11,2423.0,31,78.16129032258064
2013-11-18,8993.0,28,321.17857142857144
2013-11-25,1911.0,31,61.645161290322584
2013-12-02,6143.0,32,191.96875
2014-03-31,852.0,28,30.428571428571427
2014-04-07,1060.0,31,34.193548387096776
2014-04-14,242.0,25,9.68
2014-04-21,500.0,29,17.24137931034483
2014-04-28,3687.0,30,122.9
2014-05-05,4079.0,32,127.46875
2014-05-12,8786.0,31,283.4193548387097
2014-05-19,2253.0,28,80.46428571428571
2014-05-26,11044.0,32,345.125
2014-06-02,11205.0,31,361.4516129032258
2014-06-09,6383.0,30,212.76666666666668
2014-06-16,15327.0,31,494.4193548387097
2014-06-23,13347.0,28,476.67857142857144
2014-06-30,8874.0,32,277.3125
2014-07-07,8975.0,30,299.1666666666667
2014-07-14,5929.0,31,191.25806451612902
2014-07-21,3953.0,31,127.51612903225806
2014-07-28,3989.0,29,137.55172413793105
2014-08-04,4018.0,29,138.55172413793105
2014-08-11,2740.0,29,94.48275862068965
2014-08-18,2831.0,29,97.62068965517241
2014-08-25,2807.0,32,87.71875
2014-09-01,1977.0,29,68.17241379310344
2014-09-08,3498.0,31,112.83870967741936
2014-09-15,3323.0,32,103.84375
2014-09-22,2529.0,30,84.3
2014-09-29,5245.0,29,180.86206896551724
2014-10-06,4510.0,31,145.48387096774192
2014-10-13,1190.0,30,39.666666666666664
2014-10-20,1657.0,31,53.45161290322581
2014-10-27,3493.0,31,112.6774193548387
2014-11-03,2903.0,29,100.10344827586206
2014-11-10,4865.0,30,162.16666666666666
2014-11-24,1211.0,30,40.36666666666667
2014-12-01,1482.0,30,49.4
2014-12-08,1870.0,30,62.333333333333336
2014-12-15,1556.0,30,51.86666666666667
2014-12-22,499.0,2,249.5
2015-04-06,4663.0,15,310.8666666666667
2015-04-13,4584.0,26,176.30769230769232
2015-04-20,4435.0,26,170.57692307692307
2015-04-27,952.0,12,79.33333333333333
2015-05-04,7478.0,30,249.26666666666668
2015-05-11,5961.0,31,192.29032258064515
2015-05-18,2543.0,30,84.76666666666667
2015-05-25,11970.0,30,399.0
2015-06-01,7898.0,32,246.8125
2015-06-08,6400.0,31,206.4516129032258
2015-06-15,3269.0,32,102.15625
2015-06-22,3752.0,30,125.06666666666666
2015-06-29,2935.0,30,97.83333333333333
2015-07-06,2333.0,32,72.90625
2015-07-13,2846.0,31,91.80645161290323
